rating,title,description,job_title
4.0,"Good money, a job not a career","I worked night shift so it;s tough to get acclimated with the schedule. The pay is good especially on night shift, but it is a very bureaucratic company. ",Picker
1.0,Terrible place to work in and only recommend if you want your back broken,"Working as a warehouse associate for Amazon is one of the only jobs that accepted me as someone with no previous work experience, but that was the only plus. The benefits are ok if you are full time, but the back breaking work isn't worth $15 an hour. The job is very intense and repetitive and you only get a 30 minute break (unpaid) for the whole 8 hour shift. Under normal circumstances, that is ok- but this job is very labor intensive and is similar to doing CrossFit for 8 hours. You will feel tired at the end of your shift and you will sleep for the rest of your day off. You will inevitably become their sl*ve. Oh and the management is complete cr*p at their job as they are disorganized and overtly rude for no reason.",Warehouse Associate
4.0,It's okay,If your gonna work here work flex other wise the ot during peak sucks. If you work flex you get the opportunity to pick your own hours. All day on your feet,Amazon Fulfillment Associate
3.0,Hard and fast paced work ,Don’t work here if you are not up for non stop working for your entire shift. It’s hard work. Issues with clock in punches. Everyone is super friendly and helpful though. ,Warehouse Worker
4.0,I had a great time but YMMV,The teams at amazon have very little to do with each other so you get drastically different experiences depending on who your coworkers/managers are. Personally mine were great. ,SDE Intern
3.0,Overall Operations isn't sold to intern's like it should be,Overall Amazon was a decent experience. The recruiters just oversold the actual things I was going to be doing. Most of the summer I was just managing associates.,Area Manager in
4.0,"Constantly moving , learning new things ","Very relaxed shift with music of you’re choice but it is fast pace and gets intense real quick depends sort, or delivery stations. I love the thrill of coming in the morning and have the rest of the day ahead of me",FC Associate I
2.0,decent money,not flexible with hours to work . managers are not very helpful. they don't train you at all. scanners never work. no one will help .management need to be more helpful ,Warehouse Worker
5.0,Typical day,Typical day I loaded boxes in 18 wheeler truck beds. The hardest part was  standing all day on concrete floors. The most enjoyable part was colleagues and management. There were other employees who told you where to find the exits and break room without complaining.,Warehouse Associate
4.0,Good starting place ,"If you are just starting off in the warehouse/logistics environment, this is a good place to start. Pay is great, benefits are great it ultimately comes down to the work/family life balance as well as management issues. There have been some great management but some not so great management. You have to take the initiative and make yourself move forward, no one is going to hold your hand to do so. ",Process Assistant
3.0,Good place to work ,"Co workers are friendly and helpful. PA could help out more. Keep 20 minutes break. Pay should be higher. Ops managers are cool l  scan rate should not apply when you're doing 3 different assignment, waterside, staging, ",Sorter/Package Handler
2.0,Meh,Meh I wouldn’t recommend to some,Stower/Picker
1.0,Management gone sour. Work culture for the mentally strong.,"Almost a decade  at a company with no advancement to offer. Management on  nights have become obsessed with numbers to push out, little to no room for safety or quality. Power and greed runs this building. If you don't have a tough skin you will never make it here. Work is repetitive but easy as long as you hustle. Talking is a big NO! Your opinion and or ideas are just that. Micro managed to to full extent. Hustle and go home. Money and benefits keep me here.",Packer
4.0,"Friendly, easy place to work.",I worked for Merch by Amazon SLC on back half nights. I loved it and I would go back if I could. Management is great and the people were also cool. It’s an easy job and it’s entertaining looking at all the shirts. A downside is that the hours are long and late at night you want to die from boredom.,Merchandise Associate
2.0,Not fun at all,Very hot and stressful. Repetitive work and they will question u if you go to the bathroom. Literally feels like you’re in prison. It would b better if they had Ac And we could do different things throughout the shifts ,Warehouse Worker
4.0,Good productive ,Very good job thoroughly community large helpful task sales hand back all along for the love of it all vacation time pto time 15 an hour full time schedule,Technical Support
4.0,It was alright,"They work you, you have to like working in a fast paced environment to stay in this job line. It was alright for me since I lasted 2 years but the managers we had were real creeps except 2. ",wearhouse associate
1.0,Not a fun place to work. False job advertisement ,"Amazon is not an employee friendly company.  They will use you and suck you dry. The take off policy is so anti employee. God help you if you get sick for any period of time which requires you to take off for a few days. Thier policy is terrible and they will terminate you with no fair consideration . Also, bad management ",Packaging Associate
4.0,You get what you put into it,"Just like the title says. Willing to put in the work and display their Leadership Principles and you can go far. Its lost its small feel, teams across the company no longer communicate causing poor experience for those on the front line of the company. ",Manager
5.0,"Great place to start, fun &amp; positive work place!!","I started in inbound stow and also was a water spider. I recently transferred to outbound ship dock and like this position best. You get to learn a variety of indirect roles such as a runner, water spider, robot operator and one of my personal favorites is operating the forklift. Management is very positive and friendly to workers from what I’ve seen. They will stick up for you when needed and will help you advance in your job at Amazon if you choose to. I see negative reviews but I encourage anyone to give them a chance and really decide if this is you because these jobs are not for everybody. ",Outbound ship dock
3.0,Truck trailers,They typically would have a lot of lazy people. So if you are hard worker good luck at moving up. You might get lucky and talk to the right people and get a chance at a better position. The abundance of people make it almost impossible for a better position.  ,Warehouse Associate
4.0,"Good money, a job not a career","I worked night shift so it;s tough to get acclimated with the schedule. The pay is good especially on night shift, but it is a very bureaucratic company. ",Picker
4.0,"Good pay, good co-workers ","Compared to other warehouse locations, the compensation here is better. Benefits are good as well. Co-workers are usually friendly and helpful.  Management is usually someone that was previously in the entry level which I believe is a plus. The long hours and workload can be very demanding at times. ",Warehouse Employee 
3.0,Hard work. Very short breaks,Its a fast place to find a job as many people quit because the work load is so heavy and the breaks are so short. It is easy to move up in the companyn if you work hard. I come into contact with many co-workers that have been passed up promotions because there is favortism.,Picker/Packer
3.0,The most stressful and dehumanized job I've ever worked,"I would say this is not a good job, however it a stable job that will hire almost anyone and will keep you as long as you want to stay, and for that it is a fantastic option for many, but the turnover rate is very high as everyone is looking to jump ship as soon as they can.",Warehouse Associate
1.0,Its alright,"Working for amazon is honestly a hit or miss and depends on what you think qualifies for a good job. If you're only doing it for benefits and pay then its great! Other than that its trash. Its the HR on site and higher ups offsite that make it a terrible place to work at. I have had multiple incidents where it required me to miss work and I did not have enough PTO or UPT to cover it. They do not care about you or your excuses. I was told they dont accept doctors notes as an excuse to miss work. I had gotten covid after working there for two weeks, and after showing them a positive test result I was told from my ""case worker"" that I was not going to get the covid pay because it was suspected I had forged the test result. After showing them they were wrong they never contacted me back or gave me my back pay. On top of that the first week being back from covid I pulled a muscle in my foot on the job and after going through a lengthy process and keeping me out of work for the majority of the month of may while they knew I could work with accommodations they decided I could come back to work the last week of my recovery. I was told I was ineligible to get workers comp pay for the time missed because I was such a new worker and hadn't worked their long enough. This company is complete garbage.  ",Amazon Warehouse Associate
1.0,High Stress,"The long hours of work 10 - 12 hours a day plus overtime. Standing 90% of work day. Light to heavy lifting 10-12 hours a day. Stressful environment and working conditions. Unprofessional management staff. Employees are responsible for handling their own Human Resources. Amazon does not promote off of hardworking, dedication, skills &amp; dependability, they work off of favoritism. Amazon can afford to pay employees more than it does. They seem to not hire from within like they state that they do.They should also offer 8 hour shifts. Job applicants should be aware that there are possibilities of backaches, headaches, swollen hands, arms, legs &amp; feet, arthritis, carpal tunnel syndrome, stress, vision issues, high blood pressure and planters fasciitis, just to name a few.",Amazon Fulfillment Associate
2.0,Just a job,"I worked for Amazon nearly 7 years (until 2010). It was good experience for a foreigner. I made good friends, good money but I was fired for misconduct...  I understand. I messed up. After 10 years (2021) I decided to apply for a part time job at Amazon to make extra money, but they still have my record and wont give a chance. They wont forgive and give a second chance even after 10 years?! Really?!",Picker/Packer
3.0,Overworking,Not enough breaks for a 10 hour shift they won’t let you have a break till everyone is finished with their work. They over work you with loads of work. ,Picker/Packer
2.0,"Not so bad if you know what you're getting into, I imagine.",Very hard manual labor at times.  When I worked it was post Christmas time and it was non stop.  The choice positions throughout my shift were normally sucked up by those who came in right before me as we had staggered shifts. ,Warehouse Associate
4.0,A job to have while getting another job,Is a good job to make money while pursuing other avenues. The work isn't incredibly difficult and it's enough to pay the bills if you single. If you need to support a family probably not the job for you.,Stocker
3.0,Be on your feet the whole time,Not to physically Demanding but always have to be moving. Fairly easy job just need to have strong endurance and good hand eye coordination. Good pay ,FC Associate I
2.0,Overall easiest job but the work can be exhausting.,Very easy to get fired as well. Remember there’s a reason Amazon filters through it’s employees so fast.,Picker
1.0,Okay place to work ,"An okay place to work ,do not feel welcome because I feel like I am being profiled .the half night shift social distancing PA Makes me feel uncomfortable and unwelcomed ",Picker/Packer
4.0,Pretty chill just need to put in work ,Pretty good job that pays decent for the work you put in. Kind of physical but not the kind of physical that’s gonna kill you unless you’ve never worked out in your life.,Amazon Fulfillment Associate
2.0,Good for some. You can feel left out here,I agree with this.  Everyone is new to the workforce and inexperienced. Not much opportunity to advance regardless of your experience. It’s very much based on how you’re manager feels about you. The pay is low and the hours are hard if you’re on night shift. It’s difficult to get moved to days.,Area Manager
1.0,"Everyone knows the Amazon life, you have no life. ",Amazon is a perfect starter job for kids fresh out of high school. Older people with families and animals. Not a good mix. It's always hard to get time off. Especially during the holidays they have a black out period where you cant take any days off so they work you like a dog and being worked like that with the amount of pay is ridiculous. ,Stower
4.0,Mind Numbing ,"Taxes took half the check every week especially OT. The tasks tend to be mind numbing and monotonous. Prime Day/Week you belong to Amazon. So, don’t expect to have a life outside of Amazon. Mandatory OT YOU BELONG TO AMAZON!!",Stower
3.0,Fine,Work from home was nice. Training was inadequate. Some silly group meeting stuff that was just a waste of time. Customers were angry and difficult sometimes.,Customer Service
4.0,Fun workplace ,I enjoyed working in a team environment! We  was able to win prizes during the holidays. There were many opportunities to advance in other positions in the warehouse. ,Warehouse Worker
5.0,Good paycheck ,"If you need a paycheck and consistent hours, here’s the perfect job for you! As long as you keep up with production numbers, as well as staying safe, you’ll succeed",Fulfillment Assistant
3.0,accumulated fatigue,"Very boring, long hours, nights, bad coffee for free. Work at five levels. Constantly run up and down ten hours. Heavy carts. No one asks you if you can do it or not. Just send you to picking.",Warehouse Operative
4.0,"Good money, a job not a career","I worked night shift so it;s tough to get acclimated with the schedule. The pay is good especially on night shift, but it is a very bureaucratic company. ",Picker
4.0,Fast Pace and Pays Well ,I like how you get to pick your own schedule and the pay is decent for the work you are doing. The location is also really nice. All the managers are very helpful as well. ,Warehouse Worker
2.0,Hard Working,"Hard working, short breaks, ",Team Member
3.0,Fun place to work , Good company to work for but it has its ups and downs but overall good place to work everyone is friendly but they need to pay more they don’t pay enough ,Overnight Stocker
4.0,Three days off ,"Not much to say, it pays the bills but that’s about it. Some other places may be better but the location I was employed at need improvement. A lot of days are boring.",Processor
5.0,work alone without being bothered,"I would definitely recommend Amazon to anyone, especially the young. They have so many growth possibilities and the pay is good. They even pay 100% of selected education levels",Stow Associate
4.0,Good pay,The pay was excellent and work was fairly easy as a stower  most people where friendly to work with you have plenty of opportunities to move positions,Amazon Fulfillment Associate
4.0,"It's very hard work, but the pay is excellent","I had a hard time being on my feet and climbing ladders for 8 hours, but once you get in the rhythm it gets easier. The hardest is I work nights so my life is a bit weird. ",Inbound Stow
